radius_mean,area_mean
17.99,1001.0
20.57,1326.0
19.69,1203.0
11.42,386.1
20.29,1297.0
12.45,477.1
18.25,1040.0
13.71,577.9
13.0,519.8
12.46,475.9
16.02,797.8
15.78,781.0
19.17,1123.0
15.85,782.7
13.73,578.3
14.54,658.8
14.68,684.5
16.13,798.8
19.81,1260.0
13.54,566.3
13.08,520.0
9.504,273.9
15.34,704.4
21.16,1404.0
16.65,904.6
17.14,912.7
14.58,644.8
18.61,1094.0
15.3,732.4
17.57,955.1
18.63,1088.0
11.84,440.6
17.02,899.3
19.27,1162.0
16.13,807.2
16.74,869.5
14.25,633.0
13.03,523.8
14.99,698.8
13.48,559.2
13.44,563.0
10.95,371.1
19.07,1104.0
13.28,545.2
13.17,531.5
18.65,1076.0
8.196,201.9
13.17,534.6
12.05,449.3
13.49,561.0
11.76,427.9
13.64,571.8
11.94,437.6
18.22,1033.0
15.1,712.8
11.52,409.0
19.21,1152.0
14.71,656.9
13.05,527.2
8.618,224.5
10.17,311.9
8.598,221.8
14.25,645.7
9.173,260.9
12.68,499.0
14.78,668.3
9.465,269.4
11.31,394.1
9.029,250.5
12.78,502.5
18.94,1130.0
8.888,244.0
17.2,929.4
13.8,584.1
12.31,470.9
16.07,817.7
13.53,559.2
18.05,1006.0
20.18,1245.0
12.86,506.3
11.45,401.5
13.34,520.0
25.22,1878.0
19.1,1132.0
12.0,443.3
18.46,1075.0
14.48,648.2
19.02,1076.0
12.36,466.1
14.64,651.9
14.62,662.7
15.37,728.2
13.27,551.7
13.45,555.1
15.06,705.6
20.26,1264.0
12.18,451.1
9.787,294.5
11.6,412.6
14.42,642.5
13.61,582.7
6.981,143.5
12.18,458.7
9.876,298.3
10.49,336.1
13.11,530.2
11.64,412.5
12.36,466.7
22.27,1509.0
11.34,396.5
9.777,290.2
12.63,480.4
14.26,629.9
10.51,334.2
8.726,230.9
11.93,438.6
8.95,245.2
14.87,682.5
15.78,782.6
17.95,982.0
11.41,403.3
18.66,1077.0
24.25,1761.0
14.5,640.7
13.37,553.5
13.85,588.7
13.61,572.6
19.0,1138.0
15.1,674.5
19.79,1192.0
12.19,455.8
15.46,748.9
16.16,809.8
15.71,761.7
